PetType,Breed,Breed_Korean,Breed_English,CoatType,CoatColor,Size
PAF01,0,믹스견,Mixed Breed Dog,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB01,PAB02,PAB03,PAB04,PAB05"
PAF01,1,고든 세터,Gordon Setter,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,2,골든 리트리버,Golden Retriever,PAD02,PAE04,PAB04
PAF01,3,그랑 바세 그리퐁 방데,Grand Basset Griffon Vendeen,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,4,그레이터 스위스 마운틴 독,Greater Swiss Mountain Dog,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF01,5,그레이트 데인,Great Dane,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF01,6,그레이트 피레니즈,Great Pyrenees,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF01,7,그레이하운드,Greyhound,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,8,글렌 오브 이말 테리어,Glen Of Imaal Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,9,기슈 켄,Kishu Ken,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,10,네덜란드 쿠이커혼제,Nederlandse Kooikerhondje,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,11,네오폴리탄 마스티프,Neapolitan Mastiff,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF01,12,노르웨이안 부훈트,Norwegian Buhund,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,13,노르웨이언 룬데훈트,Norwegian Lundehund,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,14,노르웨이언 엘크하운드,Norwegian Elkhound,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,15,노르위치 테리어,Norwich Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,16,노르포크 테리어,Norfolk Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,17,노바 스코셔 덕 톨링 리트리버,Nova Scotia Duck Tolling Retriever,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,18,뉴펀들랜드,Newfoundland,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF01,19,닥스훈트,Dachshund,"PAD01,PAD02","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,20,달마티안,Dalmatian,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,21,대니시 스웨디시 팜도그,Danish-Swedish Farmdog,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,22,댄디 딘몬트 테리어,Dandie Dinmont Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,23,더치 셰퍼드,Dutch Shepherd,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,24,도고 아르헨티노,Dogo Argentino,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,25,도그 드 보르도,Dogue De Bordeaux,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF01,26,도베르만 핀셔,Doberman Pinscher,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,27,도사,Tosa,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,28,도이처 바흐텔훈트,Deutscher Wachtelhund,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,29,드레버,Drever,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,30,드렌츠 패트리즈혼드,Drentsche Patrijshond,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,31,라고토 로마그놀로,Lagotto Romagnolo,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,32,라사 압소,Lhasa Apso,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,33,래브라도 리트리버,Labrador Retriever,PAD01,"PAE02,PAE04,PAE05",PAB04
PAF01,34,랫 테리어,Rat Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,35,랭카셔 힐러,Lancashire Heeler,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,36,러셀 테리어,Russell Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,37,러시안 토이,Russian Toy,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB01
PAF01,38,레드본 쿤하운드,Redbone Coonhound,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,39,레온베르거,Leonberger,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF01,40,레이크랜드 테리어,Lakeland Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,41,로디지안 리즈백,Rhodesian Ridgeback,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,42,로첸,Lowchen,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,43,롯트와일러,Rottweiler,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,44,마스티프,Mastiff,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF01,45,말티즈 (몰티즈),Maltese,PAD02,PAE01,PAB01
PAF01,46,맨체스터 테리어,Manchester Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06","PAB01,PAB02"
PAF01,47,미니어처 불 테리어,Miniature Bull Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,48,미니어처 슈나우저,Miniature Schnauzer,PAD02,"PAE01,PAE02,PAE03",PAB02
PAF01,49,미니어처 아메리칸 셰퍼드,Miniature American Shepherd,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,50,미니어처 핀셔 (미니핀),Miniature Pinscher,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB01
PAF01,51,바빗,Barbet,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,52,바센지,Basenji,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,53,바셋 포브 드 브르타뉴,Basset Fauve De Bretagne,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,54,바셋하운드,Basset Hound,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,55,버거 피카드,Berger Picard,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,56,버니즈 마운틴 독,Bernese Mountain Dog,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF01,57,베들링턴 테리어,Bedlington Terrier,PAD03,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,58,베르가마스코,Bergamasco,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,59,벨지안 라케노이즈,Belgian Laekenois,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,60,벨지안 말리노이즈,Belgian Malinois,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,61,벨지안 쉽도그,Belgian Sheepdog,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,62,벨지안 터뷰렌,Belgian Tervuren,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,63,보더 테리어,Border Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,64,보더콜리,Border Collie,"PAD01,PAD02","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,65,보르조이,Borzoi,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF01,66,보볼,Boerboel,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,67,보스롱,Beauceron,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,68,보스턴 테리어,Boston Terrier,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,69,보이킨 스파니엘,Boykin Spaniel,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,70,복서,Boxer,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,71,볼로네즈,Bolognese,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB01
PAF01,72,불 테리어,Bull Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,73,불독,Bulldog,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,74,불마스티프,Bullmastiff,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF01,75,브라코 이탈리아노,Bracco Italiano,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,76,브라크 뒤 브루보네,Braque Du Bourbonnais,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,77,브라크 프랑세 프레니안,Braque Francais Pyrenean,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,78,브로홀머,Broholmer,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF01,79,브루셀 그리폰,Brussels Griffon,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB01
PAF01,80,브리아드,Briard,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,81,브리타니,Brittany,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,82,브비에 데 플랑드르,Bouvier Des Flandres,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,83,블랙 러시안 테리어,Black Russian Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,84,블랙 앤드 탄 쿤하운드,Black And Tan Coonhound,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,85,블러드하운드,Bloodhound,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,86,블루틱 쿤하운드,Bluetick Coonhound,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,87,비글,Beagle,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,88,비바 테리어,Biewer Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB01
PAF01,89,비숑프리제,Bichon Frise,PAD03,PAE01,PAB02
PAF01,90,비어디드 콜리,Bearded Collie,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,91,비즐라,Vizsla,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,92,사모예드,Samoyed,PAD02,"PAE02,PAE04,PAE05",PAB03
PAF01,93,살루키,Saluki,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,94,서섹스 스파니엘,Sussex Spaniel,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,95,세인트 버나드,St. Bernard,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF01,96,센트럴 아시안 셰퍼드 도그,Central Asian Shepherd Dog,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,97,셰틀랜드 쉽독,Shetland Sheepdog,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,98,소프트 코티드 휘튼 테리어,Soft Coated Wheaten Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,99,쇼로이츠퀸틀리,Xoloitzcuintli,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,100,스몰 물스터랜더 포인터,Small Munsterlander Pointer,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,101,스무드 폭스 테리어,Smooth Fox Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,102,스위디쉬 발훈트,Swedish Vallhund,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,103,스위디시 랩훈트,Swedish Lapphund,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,104,스카이 테리어,Skye Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,105,스코티시 디어하운드,Scottish Deerhound,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF01,106,스코티시 테리어,Scottish Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,107,스타포드셔 불 테리어,Staffordshire Bull Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,108,스탠다드 슈나우저,Standard Schnauzer,PAD02,"PAE01,PAE02,PAE03",PAB03
PAF01,109,스테비훈,Stabyhoun,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,110,스패니시 마스티프,Spanish Mastiff,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF01,111,스패니시 워터 독,Spanish Water Dog,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,112,스피노네 이탈리아노,Spinone Italiano,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,113,스하펜도스,Schapendoes,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,114,슬로벤스키 코포브,Slovensky Kopov,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,115,슬로벤스키 쿠박,Slovensky Cuvac,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,116,슬루기,Sloughi,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,117,시르네코 델레트나,Cirneco Dell’Etna,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,118,시바 이누,Shiba Inu,PAD01,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,119,시베리안 허스키,Siberian Husky,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,120,시츄,Shih Tzu,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,121,시코쿠,Shikoku,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,122,시퍼키,Schipperke,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,123,실리함 테리어,Sealyham Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,124,실키 테리어,Silky Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB01
PAF01,125,아나톨리아 셰퍼드,Anatolian Shepherd Dog,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF01,126,아메리칸 레오파드 하운드,American Leopard Hound,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,127,아메리칸 스타포드셔 테리어,American Staffordshire Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,128,아메리칸 에스키모 독,American Eskimo Dog,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,129,아메리칸 워터 스파니엘,American Water Spaniel,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,130,아메리칸 잉글리시 쿤하운드,American English Coonhound,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,131,아메리칸 폭스하운드,American Foxhound,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,132,아메리칸 헤어리스 테리어,American Hairless Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB02
PAF01,133,아이리쉬 레드 앤 화이트 세터,Irish Red And White Setter,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,134,아이리쉬 세터,Irish Setter,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,135,아이리쉬 울프하운드,Irish Wolfhound,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF01,136,아이리쉬 워터 스파니엘,Irish Water Spaniel,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,137,아이리쉬 테리어,Irish Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,138,아이슬랜드 쉽독,Icelandic Sheepdog,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,139,아자왁,Azawakh,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,140,아키타,Akita,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB05
PAF01,141,아펜핀셔,Affenpinscher,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB01
PAF01,142,아프간 하운드,Afghan Hound,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,143,알래스칸 맬러뮤트,Alaskan Malamute,PAD02,"PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,144,에스트렐라 마운틴 독,Estrela Mountain Dog,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB04
PAF01,145,에어데일 테리어,Airedale Terrier,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,146,엔틀버쳐 마운틴 독,Entlebucher Mountain Dog,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
PAF01,147,오스트레일리안 셰퍼드,Australian Shepherd,"PAD01,PAD02,PAD03","PAE01,PAE02,PAE03,PAE04,PAE05,PAE06",PAB03
